"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Check if page number is correct in response","RegressAPITestSuite","Thu Jun 26 10:05:17 CEST 2025","passed","Thu Jun 26 10:05:17 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldReturnCorrectUsersPage"
"","320","getTenResults","CatsAPITestSuite","Thu Jun 26 10:05:24 CEST 2025","passed","Thu Jun 26 10:05:25 CEST 2025","restAssuredTests.cats.tests.GetCatRequests","RegressAPI","restAssuredTests.cats.tests.GetCatRequests","getTenResults"
"Checks that the status code is 200 for the default resource page.","1","Verify status code for default resource page","RegressAPITestSuite","Thu Jun 26 10:05:01 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnValidStatusForDefaultResourcePage"
"","354","Verify the user is successfully updated with put method","GoRestAPITestSuite","Thu Jun 26 10:05:21 CEST 2025","passed","Thu Jun 26 10:05:21 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldUpdateUserEmailSuccessfully"
"","215","Delete a user successfully","RegressAPITestSuite","Thu Jun 26 10:05:00 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldDeleteUser"
"","1084","getBengalImages","CatsAPITestSuite","Thu Jun 26 10:05:23 CEST 2025","passed","Thu Jun 26 10:05:24 CEST 2025","restAssuredTests.cats.tests.GetCatRequests","RegressAPI","restAssuredTests.cats.tests.GetCatRequests","getBengalImages"
"","411","Verify user post information is returned","GoRestAPITestSuite","Thu Jun 26 10:05:21 CEST 2025","passed","Thu Jun 26 10:05:21 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldReturnUserPostInformation"
"","88","Return single resource by ID","RegressAPITestSuite","Thu Jun 26 10:05:01 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldReturnSingleResourcesPage"
"","15","Ensure nested JSON contains a list of IDs","RegressAPITestSuite","Thu Jun 26 10:05:01 CEST 2025","passed","Thu Jun 26 10:05:01 CEST 2025","restAssuredTests.regres.tests.TestResources","RegressAPI","restAssuredTests.regres.tests.TestResources","shouldVerifyNestedJSONNotEmpty"
"","11","testTitle","Selenium Store Tests","Thu Jun 26 10:05:39 CEST 2025","passed","Thu Jun 26 10:05:39 CEST 2025","seleniumTests.tests.TestHomePage","UI Store tests","seleniumTests.tests.TestHomePage","testTitle"
